ASSETNUM;DESCRIPTION;ASSETTAG;LOCATION;SLXJDETECNICO;INSTALLDATE;STATUS;SITEID
2976796;EXTRACTOR CENTRIFUGO;E5_VENTANA1;TS_CND_C/V_AUXMEC;3160;;OPERACION;0131_GE
2977262;INTERCAMBIADOR DE CALOR DE PLACAS;2 CALOR DE PLACAS;TS_CNV_AUXMEC-C/M_AACON;2913;;OPERACION;0131_GE
2977237;CIRCUITO DE ALUMBRADO Y TOMACORRIENTES;C/M;TS_CNV_AUXELEC-C/M;2879;;OPERACION;0131_GE
2976887;PORTERIA;;TS_TRF_OBRAS;4686;1/07/1993;OPERACION;0131_GE
2976837;INTERCAMBIADOR DE CALOR DE CORAZA Y TUBOS;3-TRF2  CORAZA Y TUBOS;TS_TRF_TRANSFORMADORES;2928;;OPERACION;0131_GE
2976802;TUNEL;VENTANA2;TS_CND_OBRAS;4672;1/07/1993;OPERACION;0131_GE
2977092;COJINETE COMBINADO EMPUJE GUIA, SUPERIOR;;TS_CNV_U3_GEN;2842;;OPERACION;0131_GE
2977125;CALEFACCION DE RESISTENCIA;;TS_CNV_U3_GEN_AUX;3167;;OPERACION;0131_GE
2977170;SENSOR, TEMPERATURA;1_METAL_CGT;TS_CNV_U3_CTRL_INST;124720;;OPERACION;0131_GE
2977019;MOTOR ELECTRICO CORRIENTE ALTERNA;ACRU2-U2;TS_CNV_U2_GEN_AUX_REFRIG;2933;;OPERACION;0131_GE
2977373;TABLERO DE CONTROL;PRESA;TS_ALM_EMB_AUXELEC;2862;1/07/2010;OPERACION;0131_GE
2976878;MEDIDOR DE ENERGIA;FRONTERA1_U3;TS_TRF_INSTRUMENTACION;116737;1/07/1999;OPERACION;0131_GE
2976876;MEDIDOR DE ENERGIA;FRONTERA1_U1;TS_TRF_INSTRUMENTACION;116735;1/07/1999;OPERACION;0131_GE
2977201;COMUNICACIONES VOZ DATOS TS;;TS_CNV_CENTRO-CTRL;116855;;OPERACION;0131_GE
4230752;NEUTRO TIERRA GENERADOR;;G3_CNV_U5_GEN_AUX;2268;28/02/1991;OPERACION;0131_GE
4228727;ESTACION HIDRAULICA U2 TR_EPM-GE-138;;TR_CNV_U2_TURB_AUX_REGVEL;3621;1/07/1965;OPERACION;0131_GE
4230357;TRANSFORMADOR DE POTENCIA, 19.000,0 KVA, 1F;BCO 2 FASE S G3;G3_TRF_BCO_TRAFOS_U2;2750;8/03/1998;OPERACION;0131_GE
4229664;VALVULA ADMISION U4 P3_EPM-GE-1976;;PIII_CNV_U4_TURB;226049;1/07/2011;OPERACION;0131_GE
4230639;NEUTRO TIERRA GENERADOR;;G3_CNV_U3_GEN_AUX;2266;26/10/2001;OPERACION;0131_GE
4233146;NEUTRO TIERRA U2 G4_EPM-GE-988;;G4_CNV_U2_GEN_AUX;3277;;OPERACION;0131_GE
4229589;UPS 6 COMPUERTAS D/FONDO P3_EPM-GE-1898;6;PIII_ALM_EMB_AUXELEC;475545;1/07/2011;OPERACION;0131_GE
4233247;MOTOBOMBA 2 REFRIG U2 G4_EPM-GE-1091;2;G4_CNV_AUXMEC_C/M_REFRIG_BOMBE_ACRU;391860;1/07/2011;OPERACION;0131_GE
2976950;COMPUTADOR DE UNIDAD;;TS_CNV_U1_CTRL;2858;1/07/1993;OPERACION;0131_GE
4228668;ESTACION HIDRAULICA V/A U1 TR_EPM-GE-080;VALVULA ADMISION;TR_CNV_U1_TURB_AUX;3584;;OPERACION;0131_GE
4228706;BARRAJE SALIDA ESTATOR U2 TR_EPM-GE-118;ESTATOR U2;TR_CNV_U2_GEN_AUX;3547;;OPERACION;0131_GE
4230057;PUENTE GRUA 2 C/M P3_EPM-GE-2381;2;PIII_CNV_AUXMEC_C/M;226152;1/07/2011;OPERACION;0131_GE
4228724;ESTACION HIDRAULICA V/A U2 TR_EPM-GE-135;VALVULA ADMISION;TR_CNV_U2_TURB_AUX;3585;;OPERACION;0131_GE
4229106;MOTOBOMBA, ACEITE, ALTA PRESION, 11,0 KW, 460,0 V, 8,3 A;2;PII_CNV_U2_GEN_AUX_ LUB-FORZ;116201;;OPERACION;0131_GE
4229067;COMPUTADOR U1 P2;;PII_CNV_U1_CTRL_INST;116143;9/04/2001;OPERACION;0131_GE
4233213;DISTRIBUIDOR TURBINA U3 G4_EPM-GE-1056;;G4_CNV_U3_TURB;3327;;OPERACION;0131_GE
4230552;PLC;TCU1;G3_CNV_U1_CTRL;263574;11/04/2007;OPERACION;0131_GE
4229284;MOTOBOMBA 4 INFILTRACIO C/M P2;4 INFILTRACION;PII_CNV_AUXMEC_C/M_BOMBEO_ATCU;116397;;OPERACION;0131_GE
4229212;COJINETE TURBINA U3 P2;;PII_CNV_U3_TURB_AUX;116304;;OPERACION;0131_GE
4229206;RODETE FRANCIS U3 P2;;PII_CNV_U3_TURB;116302;9/04/2001;OPERACION;0131_GE
4229222;CONTROLADOR U3 P2;;PII_CNV_U3_CTRL;116317;;OPERACION;0131_GE
4229234;COMPUTADOR U3 P2;;PII_CNV_U3_CTRL;116325;9/04/2001;OPERACION;0131_GE
4598501;MALLA VIAJERA 1 AGUA RIO U3 SISTEMA CAPTACION AGUA RIO U3  GE-4250;VIAJERA1;SI_CNV_U3_CIRC-ACOND_CAPT;122184;21/12/1998;OPERACION;0131_GE
2977117;BOMBA,CENTRIFUGA DE FLUJO AXIAL;ACRU1-U3;TS_CNV_U3_GEN_AUX_REFRIG;810642;;OPERACION;0131_GE
4229395;TRANSFORMADOR DE POTENCIA, 50.000,0 KVA, 1F;BCO 2 FASE T;PII_TRF_BCO_TRAFOS_U2;116483;9/04/2001;OPERACION;0131_GE
4229050;MOTOBOMBA, AGUA, LUBRICACION, 5,5 KW, 460,0 V, 11,5 A;2;PII_CNV_U1_TURB_AUX_CIR_ASELLO;116133;;OPERACION;0131_GE
4230508;TUBERIA PRESION;ETAPA 2;G3_CND_TUBERIA-PRESION;2598;31/12/1962;OPERACION;0131_GE
4230939;TRANSFORMADOR DE DISTRIBUCION;TDP4;G3_CNV_AUXELEC_C/M;644217;;OPERACION;0131_GE
4229633;INTERRUPTOR POTENCIA U4 P3_EPM-GE-1944;;PIII_CNV_U4_GEN_AUX;226047;;OPERACION;0131_GE
4230902;COMPRESOR SERV GENERALES;SERV GENERALES 1;G3_CNV_AUXMEC_C/M_ACOMP_GRAL;2333;;OPERACION;0131_GE
4229111;MOTOBOMBA 1 AGUA CRUDA U2 P2;1;PII_CNV_U2_GEN_AUX_REFRIG_BOMB_ACRU;116237;;OPERACION;0131_GE
4230679;;;G3_CNV_U3_CTRL_INST;260602;;OPERACION;0131_GE
4233205;REGULADOR TENSION +ER U3 G4_EPM-GE-1048;ER;G4_CNV_U3_GEN_AUX_EXCIT;300334;1/07/2009;OPERACION;0131_GE
4594494;COJINETE TURBINA U5 GT EPM-GE-6347;CT;GT_CNV_U5_TURB;5768;23/01/2002;OPERACION;0131_GE
4594556;COJINETE TURBINA U6 GT EPM-GE-6409;CT;GT_CNV_U6_TURB;5770;23/01/2002;OPERACION;0131_GE
4230259;CABLE DE POTENCIA AISLADO;CTO1-2;PIII_TRF_CABLES-POTENCIA_BCO1;244270;;OPERACION;0131_GE
4599173;VALVULA PREMEZCL GAS VPS1 U2SISISTEMA PREMEZCLA GAS GE-4923;VPS1;SI_CNV_U2_GAS-COMBUSTIBLE;129979;18/08/2000;OPERACION;0131_GE
4593909;MOTOBOMBA 2 LUBRI FORZADA U3PL EPM-GE-7229;2;PL_CNV_U3_GEN_AUX_ LUB-FORZ;380888;;OPERACION;0131_GE
4592791;RODETE PELTON U2 S1 EPM-GE;;S1_CNV_U2_TURB;285133;25/06/2007;OPERACION;0131_GE
4592796;ESTACION HIDRAULICA U2 S1 EPM-GE-10072;;S1_CNV_U2_TURB_AUX_REGVEL;381095;12/01/2010;OPERACION;0131_GE
4233240;PUENTE GRUA C/M G4_EPM-GE-1084;;G4_CNV_AUXMEC_C/M;3374;1/07/1985;OPERACION;0131_GE
4229833;CONTROLADOR TCU2 U2 P3_EPM-GE-2150;TCU2;PIII_CNV_U2_CTRL;260168;1/07/2011;OPERACION;0131_GE
4594658;ESTATOR GENERADOR U8 GT EPM-GE-6511;;GT_CNV_U8_GEN;5852;31/12/1993;OPERACION;0131_GE
4598488;MOTOR AGUA CONDENS P9003 U3MARCA GENERAL GE-4237;P9003;SI_CNV_U3_S-COND_BOMB-ACOND;122168;21/12/1998;OPERACION;0131_GE
2976922;MOTOBOMBA,CENTRIFUGA;ATRU1-U1;TS_CNV_U1_GEN_AUX_REFRIG;2936;1/07/1993;OPERACION;0131_GE
4230591;MOTOBOMBA;1;G3_CNV_U2_GEN_AUX_CIRC-ACEI;263549;;OPERACION;0131_GE
4230621;TRANSMISOR;CI;G3_CNV_U2_CTRL_INST;250360;;OPERACION;0131_GE
4599282;CARGADOR BATERIAS 2 PEEC U2 VOLTAJE 125VDC  GE-5034;2-PEECC;SI_CNV_U2_CENTRO-CTRL;381015;11/01/2010;OPERACION;0131_GE
4229049;MOTOBOMBA, AGUA, LUBRICACION, 5,5 KW, 460,0 V, 11,5 A;1;PII_CNV_U1_TURB_AUX_CIR_ASELLO;116132;;OPERACION;0131_GE
4230860;MOTOBOMBA 1 REFRIG GEN U1 G3;1 U1;G3_CNV_AUXMEC_C/M_REFRIG_BOMBE_ACRU;391847;1/07/2011;OPERACION;0131_GE
4599035;VENTILADOR MODU ACOPL VG1 U1SI SISTEMA COMPARTIMIENTO TURB U1  GE-4781;VG1 MODU ACOPL;SI_CNV_U1_TURB-GAS_ACOPLAM-CARGA;130617;21/08/2000;OPERACION;0131_GE
4588760;DISTRIBUIDOR TURBINA U2 CA EPM-GE-10236;;CA_CNV_U2_TURB;285632;25/06/2007;OPERACION;0131_GE
4595066;MOTOBOMBA 1 FASE S BCO 3 GT EPM-GE-6876;1 FASE S;GT_TRF_BCO3_TRAFOS;816338;;OPERACION;0131_GE
