,FILENAME,WORKLOG
0,HistoriaJDE_OT_2213656.txt,ASEO GENERAL Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
1,HistoriaJDE_OT_2213694.txt,ASEO Y LIMPIEZA CAVERNA C/M PORCE 2    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
2,HistoriaJDE_OT_2213695.txt,ASEO Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
3,HistoriaJDE_OT_2222650.txt,"3AE: REALIZAR PRUEBAS ELECTRICAS.    CON ESTA OT SE INTERVENDRÁ EL TRANSFORMADOR DE POTENCIA N° ___  DE GUADALUPE 4      SE REALIZARAN LAS SIGUIENTES PRUEBAS, SEGÚN EL INSTRUCTIVO RESPECTIVO:    PRUEBA INSTRUCTIVO FACTOR DE POTENCIA (AISLAMIENTO Y BUJES) GANTE0010 RELACIÓN DE TRANSFORMACIÓN CORRIENTE DE EXCITACIÓN REACTANCIA DE DISPERSIÓN RESISTENCIA DE AISLAMIENTO GANTE0009 RESISTENCIA OHMICA GANTE0019     FALTAN LOS INSTRUCTIVOS DE MANTENIMIENTO DE :   * RELACIÓN DE TRANSFORMACIÓN  * CORRIENTE DE EXCITACIÓN  * REACTANCIA DE DISPERSIÓN    Ver Informe en archivo de la unidad."
4,HistoriaJDE_OT_2227838.txt,ASEO GENERAL Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
5,HistoriaJDE_OT_2227869.txt,ASEO Y LIMPIEZA CAVERNA C/M PORCE 2    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
6,HistoriaJDE_OT_2227872.txt,ASEO Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
7,HistoriaJDE_OT_2231839.txt,SOLICITANTE: Anexo. FECHA: Febrero 03 del 2013.                                                                                                          LA  VALVULA  DE  ADMISION  G31  PRESENTA  EXCESIVA  FUGA  DE  AGUA  POR  SU  MUÑON.  FAVOR  CORREGIR.                                                                                                                                                                                    NOTA:  ESTA  SITUACION  SE  HABIA  REPORTADO  EN  SOLICITUD  Nº 2204797  DICIEMBRE  05  DEL 2012.    
8,HistoriaJDE_OT_2241756.txt,"ESTA OT ES GENERADA POR EL PROGRAMA DE MP QUE REALIZARÁN LOS OPERADORES / MANTENEDORES DE PORCE2.    XL: REVISION, MTTO Y LIMPIEZA    Realizar mantenimiento a tableros de control y verificar funcionamiento  de los PLC, realizar Backup. Verificar transductores de 4 - 20 mA., Verificar transferencia.    FECHA: 02/12/13 OT: 2241756 PROGRAMADOR: JRODRIGL EJECUTA: DAVID ATEHORTUA    Se realiza mantenimiento y limpieza a tableros de control y se verifica Back-up del PLC.    Informa: Jorge Rodrìguez"
9,HistoriaJDE_OT_2243893.txt,  REPARAR Y MONTAR ACCIONAMIENTO COMPUERTA 1 DESCARGA TENCHE
10,HistoriaJDE_OT_2245933.txt,ASEO GENERAL Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
11,HistoriaJDE_OT_2246053.txt,ASEO Y LIMPIEZA CAVERNA C/M PORCE 2    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
12,HistoriaJDE_OT_2246054.txt,ASEO Y LIMPIEZA PLANTAS DE GENERACION    NO SE CARGAN TIEMPOS YA QUE EL COSTO DE ESTA SE VE REFLEJADO EN LA O4
13,HistoriaJDE_OT_2247684.txt,OT PARA INSTALACION SIRENA DE EMERGENCIA EN LA SUBESTACION SALTO.    Se hace instalación de la sirena en la subestación el Salto y se ensaya su funcionamiento.
14,HistoriaJDE_OT_2254091.txt,Reporte No Disponible
