TYPE;FAILURECODE;DESCRIPTION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
PROBLEM;FUGAS;FUGA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORROSIO;PRESENCIA DE CORROSION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;FABRICAC;DEFECTO DE FABRICACION (TUBO/ACCESORIO DEFECTUOSO)
CAUSE;CORREXT;CORROSION EXTERNA
REMEDY;REPARAR;REPARAR
PROBLEM;ESTRUCT;DANO EN RECUBRIMIENTO, ABOLLADURA, DEFORMACION
REMEDY;REPARAR;REPARAR
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;ENVEJEC;ENVEJECIMIENTO DEL AISLAMIENTO
CAUSE;FUER.DIS;PUESTA A TIERRA FUERA DE VALORES ESTANDAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RETIRAR;RETIRAR
CAUSE;CORTO.VI;CORTOCIRCUITO POR FUERTES VIENTOS
REMEDY;AJUSTAR;AJUSTAR
CAUSE;DESG.MC;DESGASTE POR MATERIALES DE MALA CALIDAD
CAUSE;CORT.OBJ;CORTOCIRCUITO POR OBJETOS SOBRE LA LINEA
REMEDY;SERVI.NORMAL;SERVICIO NORMAL
FAILURECLASS;VALVULA;DANO DE VALVULAS
CAUSE;SELL.DES;SELLO DESALINEADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REVISAR;REVISAR
CAUSE;ROTURA;ROTURA
CAUSE;CONTROL;DANO CONTROL
REMEDY;REPARAR;REPARAR
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTADOR;DANO DE CONTADOR DE FALLAS
CAUSE;FALT.LUB;FALTA DE LUBRICACION
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RODAMIPEGADO;RODAMIENTOS DE LAS COLUMNAS PEGADOS
PROBLEM;FALLAAPERTUR;NO ABRE
CAUSE;RESORTEDEFEC;RESORTES DE PRESION CONTACTOS DEFECTUOSOS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
CAUSE;IMPDANA;IMPULSOR DAÑADO/DESGASTADO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;SINFLUJO;SIN FLUJO
CAUSE;INTERSOB;INTERRUPTOR SOBRECALENTADO
CAUSE;CON SUL;CONEXIONES SULFATADAS O FLOJAS (PUNTOS CONEXION CU)
FAILURECLASS;CELDA;CELDA
PROBLEM;DANO.POT;NO OPERA POR DANO EN POTENCIA
PROBLEM;FUGAS;FUGA
PROBLEM;ROTURA;ROTURA
PROBLEM;MOTOR_SOBRECAL;MOTOR SOBRECALENTADO
REMEDY;LIMPIAR;LIMPIAR
CAUSE;BBA_AGUA_FALLA;BOMBA DE AGUA EN FALLA
REMEDY;REPONER;REPONER
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
PROBLEM;VOLINTER;VOLTAJE INTERMITENTE
